	baseMean	log2FoldChange	lfcSE	pvalue	padj
IFNL1	3.58845107792174	2.9963156337337	0.57744716970736	2.17440147234048e-10	4.11217690210274e-09
USP12-AS2	145.378951081445	2.99233011852232	0.231227401968664	1.01925053305758e-40	8.3888395872771e-38
ACOD1	21160.3727354666	2.9535307761877	0.182979335076394	6.98308489526886e-61	3.5920988701263e-57
LINC02068	113.686570116332	2.90232980738605	0.31125825564104	5.52584386499496e-23	5.28836108679704e-21
DCLK3	3.30011711344132	2.87305393113566	0.393210867176798	1.15898497485398e-15	4.49948581935764e-14
AL034376.2	2.81929145210906	2.83034855322646	0.496133093305779	3.80541616373392e-11	8.03903932084077e-10
RHCG	58.4509041924771	2.81894219873009	0.235289335766863	4.0634265603313e-35	1.54831601676624e-32
AC107067.1	20.610132004027	2.81188103140647	0.302324985246253	1.07948084364128e-22	1.00960899267104e-20
IL6	8422.69412486822	2.81179088563977	0.26048759369872	3.20694011799766e-29	7.01978721999147e-27
MRGPRX3	1.37615145074208	2.79606990623888	0.527314341558577	3.70299770286821e-10	6.71302913957853e-09
OSR2	131.535422010408	2.7844411183503	0.213801424341762	9.87741203017928e-41	8.3888395872771e-38
OASL2P	3.09538834030309	2.78171766815648	0.441263570783148	1.49752600001647e-12	3.92024109113728e-11
AC016266.1	2.49388508713282	2.74703855273577	0.542251441354222	1.47536740824449e-09	2.4035755971527e-08
AC106881.1	13.0699624649582	2.72918729414055	0.420084646213526	5.70188796204491e-13	1.57268159124713e-11
KRT8P20	11.3743441879878	2.72519674196689	0.266042698788521	1.53390678260111e-26	2.40928747777102e-24
