"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensgene"
"752","ZNF808",137.408370818358,-0.372267526572756,0.090601615495761,7.83513345083928e-06,6.49277913348647e-05,"ENSG00000198482"
"753","WDR82",2186.20645737242,-0.372065531874972,0.0467726534794906,5.71308219476046e-16,2.32776988592854e-14,"ENSG00000164091"
"754","GORASP2",509.25640766538,-0.371616226605035,0.0630093866768871,1.01747695728553e-09,1.70902905086588e-08,"ENSG00000115806"
"755","NELFA",192.084212238916,-0.370577566996121,0.097189465359248,2.48997523709964e-05,0.00018562945825566,"ENSG00000185049"
"756","TRIM33",1050.61546075297,-0.37023877711473,0.0733809440374439,1.10694772038481e-07,1.30003175197704e-06,"ENSG00000197323"
"757","INPP4A",1236.41260592427,-0.369984025792817,0.0625458387520887,9.18152182699593e-10,1.55233355063491e-08,"ENSG00000040933"
"758","TRIM27",593.725938177907,-0.369921588900522,0.0714616534696109,5.66049643513781e-08,7.01628762948166e-07,"ENSG00000204713"
"759","TMTC3",57.8416455794389,-0.36981286101927,0.110106282450967,0.0001234715928003,0.000792931177733765,"ENSG00000139324"
"760","STK35",899.762141932055,-0.369457925085676,0.0690756046689469,2.28263420902886e-08,3.02625525032073e-07,"ENSG00000125834"
"761","COPS7B",155.799278897927,-0.369378511571747,0.0757709722729168,2.58092115211918e-07,2.83984137037456e-06,"ENSG00000144524"
"762","ZNF212",82.3747088934472,-0.369011659396847,0.0948707994438941,1.86695293448604e-05,0.000142910802008872,"ENSG00000170260"
"763","E4F1",152.97495311658,-0.368552009046584,0.0609947179146001,4.27825961817084e-10,7.68816331034787e-09,"ENSG00000167967"
"764","GABARAPL1",1469.38251576557,-0.368257403478747,0.0676916338177728,1.39115708009838e-08,1.91084433111511e-07,"ENSG00000139112"
"765","SYNE3",3749.27139048388,-0.368004981295715,0.0712990198352174,6.13273061299832e-08,7.56970996359049e-07,"ENSG00000176438"
